N,종목명,현재가,전일비,등락률,액면가,매출액,자산총계,영업이익
797.0,KBSTAR 2차전지액티브,10640.0,105.0,-0.98%,0.0,,,
798.0,한투 레버리지 S&P500 선물 ETN(H),24495.0,175.0,-0.71%,0.0,,,
799.0,TIGER 인도니프티50,10625.0,5.0,+0.05%,0.0,,,
800.0,TIGER 투자등급회사채액티브,105670.0,20.0,+0.02%,0.0,,,
801.0,대영포장,1116.0,6.0,-0.53%,500.0,3026.0,2474.0,119.0
802.0,한양증권,9490.0,0.0,0.00%,5000.0,11171.0,15029.0,372.0
803.0,삼원강재,3005.0,20.0,-0.66%,500.0,3641.0,2937.0,165.0
804.0,황금에스티,7070.0,60.0,-0.84%,500.0,3334.0,4819.0,465.0
805.0,한국패러랠,1490.0,2.0,-0.13%,0.0,,,
806.0,동남합성,34050.0,600.0,-1.73%,500.0,1934.0,921.0,135.0
807.0,경동도시가스,20200.0,50.0,-0.25%,2500.0,23049.0,10676.0,253.0
808.0,HANARO 200TR,41785.0,60.0,-0.14%,0.0,,,
809.0,TIGER 미국채10년선물,11120.0,35.0,-0.31%,0.0,,,
810.0,KODEX 200IT TR,11985.0,40.0,+0.33%,0.0,,,
811.0,일동홀딩스,10270.0,160.0,-1.53%,1000.0,6755.0,8626.0,-984.0
812.0,광전자,2035.0,10.0,-0.49%,500.0,1522.0,2479.0,58.0
813.0,KCTC,3920.0,20.0,-0.51%,500.0,9204.0,6301.0,375.0
814.0,종근당바이오,21300.0,50.0,-0.23%,2500.0,1560.0,3126.0,-148.0
815.0,한솔홀딩스,2755.0,5.0,+0.18%,1000.0,4672.0,7233.0,191.0
816.0,유니퀘스트,5310.0,10.0,+0.19%,500.0,7395.0,6107.0,409.0
817.0,대창,1266.0,49.0,-3.73%,500.0,14413.0,8402.0,91.0
818.0,SK이노베이션우,91800.0,200.0,+0.22%,5000.0,,,
819.0,태양금속,3105.0,225.0,-6.76%,500.0,5695.0,4910.0,159.0
820.0,DRB동일,5710.0,100.0,-1.72%,500.0,6618.0,9452.0,121.0
821.0,인천도시가스,26000.0,250.0,-0.95%,5000.0,7285.0,4231.0,81.0
822.0,KODEX 배당가치,12585.0,20.0,-0.16%,0.0,,,
823.0,KODEX 바이오,7690.0,80.0,-1.03%,0.0,,,
824.0,ACE 글로벌반도체TOP4 Plus SOLACTIVE,15365.0,110.0,-0.71%,0.0,,,
825.0,KODEX 미국반도체MV,14380.0,90.0,-0.62%,0.0,,,
826.0,동일산업,46350.0,150.0,-0.32%,5000.0,4981.0,4994.0,226.0
827.0,KODEX 2차전지핵심소재10 Fn,8505.0,80.0,-0.93%,0.0,,,
828.0,ACE 중국본토CSI300,22725.0,300.0,-1.30%,0.0,,,
829.0,유니온머티리얼,2670.0,45.0,-1.66%,500.0,1261.0,2042.0,8.0
830.0,두올,3390.0,60.0,+1.80%,2500.0,5660.0,4622.0,133.0
831.0,한국특강,1841.0,2.0,+0.11%,500.0,7959.0,5498.0,307.0
832.0,삼성 레버리지 천연가스 선물 ETN C,11135.0,1335.0,-10.71%,0.0,,,
833.0,팜스코,3030.0,20.0,+0.66%,500.0,19015.0,12232.0,188.0
834.0,CJ우,49200.0,500.0,+1.03%,5000.0,,,
835.0,광명전기,2560.0,60.0,-2.29%,500.0,1382.0,1722.0,46.0
836.0,화성산업,10930.0,0.0,0.00%,5000.0,6457.0,7461.0,145.0
837.0,HANARO Fn K-반도체,9780.0,105.0,+1.09%,0.0,,,
838.0,KBSTAR 코스피,25745.0,105.0,-0.41%,0.0,,,
839.0,청호ICT,2490.0,0.0,0.00%,500.0,225.0,300.0,-50.0
840.0,팜젠사이언스,5990.0,80.0,+1.35%,500.0,1509.0,3174.0,75.0
841.0,히어로즈 단기채권ESG액티브,104425.0,0.0,0.00%,0.0,,,
842.0,한국화장품제조,23700.0,500.0,-2.07%,500.0,1039.0,827.0,43.0
843.0,한국화장품,6660.0,110.0,-1.62%,500.0,660.0,439.0,0.0
844.0,크라운제과,8540.0,40.0,-0.47%,200.0,4136.0,3302.0,176.0
845.0,TIGER 미국MSCI리츠(합성 H),11370.0,30.0,-0.26%,0.0,,,
846.0,씨티알모빌리티,12400.0,160.0,-1.27%,500.0,4231.0,2974.0,-7.0
847.0,이지스레지던스리츠,3735.0,35.0,+0.95%,1000.0,152.0,3594.0,108.0
848.0,HS애드,6370.0,30.0,+0.47%,1000.0,5304.0,5448.0,248.0
849.0,엔에이치스팩19호,10210.0,20.0,-0.20%,500.0,0.0,1167.0,-1.0
850.0,화승코퍼레이션,2085.0,45.0,+2.21%,500.0,15854.0,11772.0,432.0
851.0,WOORI 25-09 회사채(AA-이상)액티브,50645.0,5.0,-0.01%,0.0,,,
852.0,와이투솔루션,2810.0,20.0,-0.71%,2500.0,1205.0,1266.0,18.0
853.0,KTOP 25-08 회사채(A+이상)액티브,101180.0,10.0,+0.01%,0.0,,,
854.0,TIGER 글로벌혁신블루칩TOP10,10010.0,115.0,-1.14%,0.0,,,
855.0,ACE 26-06 회사채(AA-이상)액티브,10175.0,5.0,+0.05%,0.0,,,
856.0,조흥,170500.0,800.0,-0.47%,5000.0,3240.0,4338.0,150.0
857.0,삼화전기,15420.0,10.0,+0.06%,1000.0,2391.0,1391.0,136.0
858.0,BNK 24-11 회사채(AA-이상)액티브,50200.0,0.0,0.00%,0.0,,,
859.0,SOL 국고채10년,103765.0,85.0,+0.08%,0.0,,,
860.0,성안,1501.0,154.0,-9.31%,500.0,725.0,1239.0,-15.0
861.0,SOL 미국배당다우존스(H),10000.0,5.0,+0.05%,0.0,,,
862.0,KBSTAR Fn5G테크,10300.0,40.0,+0.39%,0.0,,,
863.0,KTis,2890.0,35.0,-1.20%,500.0,5358.0,3962.0,195.0
864.0,깨끗한나라,2700.0,55.0,+2.08%,1000.0,6065.0,6610.0,38.0
865.0,토니모리,4180.0,50.0,-1.18%,200.0,1267.0,1991.0,-73.0
866.0,신한 KOFR금리 ETN,100370.0,0.0,0.00%,0.0,,,
867.0,CJ씨푸드,2790.0,40.0,-1.41%,500.0,1527.0,1434.0,41.0
868.0,KODEX 헬스케어,11925.0,135.0,-1.12%,0.0,,,
869.0,한진중공업홀딩스,3375.0,45.0,-1.32%,5000.0,14401.0,19960.0,371.0
870.0,TIMEFOLIO 글로벌AI인공지능액티브,13525.0,45.0,-0.33%,0.0,,,
871.0,코스맥스비티아이,10320.0,70.0,-0.67%,500.0,6174.0,9361.0,34.0
872.0,삼익악기,1092.0,1.0,+0.09%,500.0,3257.0,5216.0,116.0
873.0,동방,2060.0,45.0,+2.23%,1000.0,7585.0,5680.0,276.0
874.0,모나리자,2695.0,50.0,+1.89%,500.0,1209.0,978.0,29.0
875.0,TIGER 미국나스닥100TR(H),13110.0,70.0,-0.53%,0.0,,,
876.0,KODEX 2차전지산업레버리지,5090.0,120.0,-2.30%,0.0,,,
877.0,KoAct 바이오헬스케어액티브,9620.0,185.0,-1.89%,0.0,,,
878.0,세이브존I&C,2390.0,10.0,-0.42%,1000.0,1194.0,5736.0,92.0
879.0,현대코퍼레이션홀딩스,10750.0,140.0,-1.29%,5000.0,1643.0,2961.0,143.0
880.0,진양산업,7500.0,60.0,-0.79%,500.0,837.0,827.0,53.0
881.0,신한 미국달러 SOFR금리 플러스 ETN,9705.0,65.0,+0.67%,0.0,,,
882.0,텔코웨어,9980.0,90.0,-0.89%,500.0,426.0,1321.0,29.0
883.0,KODEX 인도Nifty50,10870.0,0.0,0.00%,0.0,,,
884.0,에이플러스에셋,4245.0,20.0,+0.47%,500.0,2707.0,3453.0,14.0
885.0,TIGER 소프트웨어,8965.0,35.0,+0.39%,0.0,,,
886.0,KBSTAR 코스닥150,12590.0,65.0,-0.51%,0.0,,,
887.0,ACE KRX금현물,12105.0,75.0,+0.62%,0.0,,,
888.0,두산퓨얼셀1우,7110.0,210.0,+3.04%,100.0,,,
889.0,TIGER 200선물인버스2X,2735.0,5.0,+0.18%,0.0,,,
890.0,KODEX K-로봇액티브,14375.0,110.0,+0.77%,0.0,,,
891.0,인바이오젠,9340.0,0.0,0.00%,500.0,114.0,1418.0,-60.0
892.0,동양철관,785.0,9.0,-1.13%,500.0,2662.0,1825.0,77.0
893.0,삼일제약,6110.0,70.0,-1.13%,500.0,1797.0,3567.0,40.0
894.0,KODEX 23-12 국고채액티브,10385.0,0.0,0.00%,0.0,,,
895.0,화천기계,4220.0,245.0,-5.49%,500.0,1897.0,1614.0,13.0
896.0,일성건설,1715.0,11.0,-0.64%,500.0,4626.0,4133.0,27.0
897.0,KBSTAR 대형고배당10TR,16655.0,5.0,+0.03%,0.0,,,
898.0,대현,2080.0,15.0,-0.72%,500.0,3193.0,2976.0,302.0
899.0,KBSTAR 코스닥150선물레버리지,10285.0,60.0,-0.58%,0.0,,,
900.0,무림페이퍼,2175.0,5.0,+0.23%,2500.0,13991.0,24291.0,963.0
901.0,TIGER KRX바이오K-뉴딜,5625.0,85.0,-1.49%,0.0,,,
902.0,TIGER 중국소비테마,6150.0,30.0,-0.49%,0.0,,,
903.0,체시스,2785.0,350.0,-11.16%,500.0,605.0,843.0,28.0
904.0,기신정기,3035.0,15.0,-0.49%,500.0,1444.0,2651.0,64.0
905.0,인팩,8860.0,10.0,+0.11%,500.0,5122.0,4112.0,208.0
906.0,콤텍시스템,730.0,1.0,+0.14%,500.0,7098.0,5584.0,159.0
907.0,유니드비티플러스,8320.0,380.0,-4.37%,1000.0,292.0,2136.0,14.0
908.0,TIGER 차이나CSI300레버리지(합성),13955.0,300.0,-2.10%,0.0,,,
909.0,TIGER 미디어컨텐츠,6260.0,45.0,-0.71%,0.0,,,
910.0,동일고무벨트,6290.0,20.0,+0.32%,500.0,3904.0,3812.0,81.0
911.0,크라운해태홀딩스,5840.0,40.0,-0.68%,500.0,9791.0,11538.0,384.0
912.0,한신공영,7470.0,0.0,0.00%,5000.0,12216.0,23494.0,394.0
913.0,휴니드,6120.0,70.0,-1.13%,5000.0,2225.0,3041.0,127.0
914.0,삼호개발,3430.0,25.0,-0.72%,500.0,3075.0,2824.0,45.0
915.0,동방아그로,6270.0,10.0,-0.16%,500.0,1467.0,2165.0,93.0
916.0,씨아이테크,1703.0,76.0,-4.27%,500.0,567.0,947.0,6.0
917.0,신영와코루,9450.0,50.0,-0.53%,500.0,2014.0,4258.0,66.0
918.0,SG세계물산,420.0,1.0,-0.24%,500.0,1613.0,3038.0,72.0
919.0,다스코,4380.0,40.0,-0.90%,500.0,3785.0,3461.0,115.0
920.0,STX그린로지스,11820.0,110.0,+0.94%,2500.0,,,
921.0,방림,1999.0,6.0,+0.30%,500.0,1558.0,2652.0,21.0
922.0,유유제약,4960.0,35.0,-0.70%,1000.0,1389.0,1952.0,-6.0
923.0,KH 필룩스,1326.0,0.0,0.00%,500.0,1643.0,12460.0,-214.0
924.0,NH프라임리츠,4495.0,10.0,-0.22%,500.0,29.0,1002.0,25.0
925.0,메리츠 3X 레버리지 국채30년 ETN,41825.0,255.0,-0.61%,0.0,,,
926.0,써니전자,2400.0,20.0,-0.83%,500.0,174.0,765.0,17.0
927.0,KC그린홀딩스,3725.0,5.0,-0.13%,500.0,7112.0,7929.0,136.0
928.0,TIGER 미국다우존스30,22810.0,0.0,0.00%,0.0,,,
929.0,TIGER 테슬라채권혼합Fn,11195.0,60.0,-0.53%,0.0,,,
930.0,제일연마,8320.0,20.0,-0.24%,500.0,834.0,1041.0,51.0
931.0,금비,82900.0,1100.0,-1.31%,5000.0,2350.0,3073.0,0.0
932.0,대원전선,1151.0,5.0,+0.44%,500.0,5624.0,2460.0,13.0
933.0,상상인증권,763.0,0.0,0.00%,1000.0,511.0,5981.0,-8.0
934.0,일신석재,1066.0,8.0,-0.74%,500.0,1377.0,1162.0,39.0
935.0,대원화성,1998.0,52.0,-2.54%,500.0,1468.0,1309.0,-74.0
936.0,신한 인버스 2X 코스닥 150 선물 ETN,8210.0,80.0,+0.98%,0.0,,,
937.0,미래산업,2680.0,165.0,-5.80%,500.0,562.0,1344.0,80.0
938.0,HANARO Fn조선해운,9935.0,170.0,+1.74%,0.0,,,
939.0,HL D&I,2150.0,15.0,-0.69%,5000.0,14721.0,16674.0,526.0
940.0,TIGER AI반도체핵심공정,9790.0,15.0,+0.15%,0.0,,,
941.0,유니온,5170.0,40.0,-0.77%,500.0,2350.0,3761.0,29.0
942.0,지엠비코리아,4225.0,0.0,0.00%,500.0,6105.0,5508.0,111.0
943.0,사조오양,8530.0,60.0,-0.70%,5000.0,3691.0,3432.0,102.0
944.0,대호에이엘,1210.0,29.0,-2.34%,500.0,1740.0,1570.0,93.0
945.0,KODEX WTI원유선물(H),14190.0,275.0,-1.90%,0.0,,,
946.0,조광페인트,6220.0,90.0,-1.43%,500.0,2605.0,3861.0,-16.0
947.0,대동전자,7570.0,60.0,-0.79%,500.0,413.0,2512.0,22.0
948.0,미래에셋 -0.5X S&P500 VIX S/T선물 ETN(H),31745.0,330.0,+1.05%,0.0,,,
949.0,KC코트렐,1555.0,37.0,-2.32%,500.0,4216.0,3235.0,36.0
950.0,엔케이,987.0,0.0,0.00%,500.0,767.0,1857.0,9.0
951.0,고려산업,3165.0,60.0,-1.86%,1000.0,2784.0,2747.0,44.0
952.0,TIGER 200선물레버리지,12325.0,20.0,-0.16%,0.0,,,
953.0,화승알앤에이,4145.0,20.0,-0.48%,500.0,6579.0,4226.0,155.0
954.0,KODEX 차이나CSI300,10495.0,120.0,-1.13%,0.0,,,
955.0,남성,2170.0,10.0,+0.46%,500.0,981.0,2712.0,25.0
956.0,한투 나스닥 100 ETN,15710.0,90.0,-0.57%,0.0,,,
957.0,남광토건,7970.0,140.0,-1.73%,5000.0,4504.0,3459.0,111.0
958.0,TIGER 미국필라델피아반도체레버리지(합성),13085.0,140.0,-1.06%,0.0,,,
959.0,신한 레버리지 은 선물 ETN(H),7810.0,565.0,+7.80%,0.0,,,
960.0,호전실업,8010.0,80.0,-0.99%,500.0,4800.0,3161.0,406.0
961.0,ACE 25-06 회사채(AA-이상)액티브,10180.0,0.0,0.00%,0.0,,,
962.0,KODEX 국채선물10년,63655.0,95.0,+0.15%,0.0,,,
963.0,KODEX 은선물(H),4660.0,170.0,+3.79%,0.0,,,
964.0,영보화학,3840.0,60.0,+1.59%,500.0,830.0,1804.0,50.0
965.0,모두투어리츠,9810.0,1760.0,+21.86%,5000.0,53.0,1033.0,25.0
966.0,보락,1280.0,3.0,-0.23%,200.0,484.0,609.0,33.0
967.0,KODEX Fn성장,13935.0,40.0,-0.29%,0.0,,,
968.0,새론오토모티브,3985.0,10.0,+0.25%,500.0,1380.0,2562.0,-31.0
969.0,상신브레이크,3560.0,55.0,+1.57%,500.0,4890.0,5436.0,141.0
970.0,진양폴리,7630.0,80.0,+1.06%,500.0,527.0,461.0,33.0
971.0,신송홀딩스,6440.0,120.0,-1.83%,500.0,2094.0,2424.0,86.0
972.0,SH에너지화학,685.0,13.0,-1.86%,500.0,1674.0,1242.0,8.0
973.0,신한 레버리지 코스닥 150 선물 ETN,30280.0,315.0,-1.03%,0.0,,,
974.0,이건산업,6910.0,80.0,+1.17%,5000.0,3293.0,4428.0,193.0
975.0,한투 S&P500 선물 ETN,15090.0,15.0,+0.10%,0.0,,,
976.0,비상교육,5770.0,210.0,+3.78%,500.0,2530.0,3092.0,35.0
977.0,한투 레버리지 천연가스 선물 ETN B,14965.0,1895.0,-11.24%,0.0,,,
978.0,KODEX 한국대만IT프리미어,19160.0,90.0,-0.47%,0.0,,,
979.0,신한 블룸버그 2X 천연가스 선물 ETN,14885.0,1830.0,-10.95%,0.0,,,
980.0,동원금속,1591.0,36.0,-2.21%,500.0,5386.0,4879.0,356.0
981.0,미래에셋글로벌리츠,2550.0,30.0,+1.19%,1000.0,136.0,3401.0,40.0
982.0,유성기업,2855.0,20.0,-0.70%,500.0,2968.0,4270.0,67.0
983.0,마이티 26-09 특수채(AAA)액티브,101450.0,45.0,-0.04%,0.0,,,
984.0,SK우,130600.0,100.0,+0.08%,200.0,,,
985.0,인터지스,2480.0,10.0,+0.40%,500.0,7200.0,4332.0,354.0
986.0,명문제약,2170.0,55.0,-2.47%,500.0,1521.0,2304.0,64.0
987.0,혜인,5790.0,0.0,0.00%,500.0,1780.0,2405.0,27.0
988.0,보해양조,529.0,17.0,-3.11%,500.0,909.0,1474.0,1.0
989.0,삼성공조,9050.0,0.0,0.00%,500.0,957.0,3087.0,87.0
990.0,KODEX 미국메타버스나스닥액티브,8630.0,75.0,-0.86%,0.0,,,
991.0,부산산업,69400.0,3000.0,+4.52%,5000.0,1526.0,1347.0,53.0
992.0,오리엔트바이오,616.0,4.0,-0.65%,500.0,288.0,811.0,15.0
993.0,부국철강,3650.0,0.0,0.00%,500.0,2097.0,1536.0,59.0
994.0,KBSTAR 미국단기투자등급회사채액티브,10175.0,20.0,-0.20%,0.0,,,
995.0,까뮤이앤씨,1611.0,35.0,-2.13%,500.0,1951.0,1955.0,-159.0
996.0,ACE 미국WideMoat가치주,20730.0,75.0,+0.36%,0.0,,,
997.0,화천기공,32700.0,100.0,-0.30%,5000.0,2441.0,4740.0,82.0
998.0,ARIRANG 신흥국MSCI(합성 H),8895.0,160.0,+1.83%,0.0,,,
999.0,한솔홈데코,887.0,8.0,-0.89%,1000.0,2834.0,3195.0,27.0
1000.0,TIGER 국채3년,106120.0,50.0,+0.05%,0.0,,,
1001.0,KODEX 미국달러선물,12155.0,0.0,0.00%,0.0,,,
1002.0,HANARO 200 TOP10,8020.0,5.0,+0.06%,0.0,,,
1003.0,한솔로지스틱스,2555.0,0.0,0.00%,500.0,10154.0,2745.0,363.0
1004.0,DSR,4430.0,55.0,-1.23%,500.0,3675.0,3647.0,358.0
1005.0,플레이그램,559.0,11.0,+2.01%,100.0,1313.0,3036.0,-69.0
1006.0,KODEX 미국달러선물인버스2X,6720.0,15.0,+0.22%,0.0,,,
1007.0,쌍방울,269.0,0.0,0.00%,500.0,1033.0,1677.0,6.0
1008.0,히어로즈 종합채권(AA-이상)액티브,100500.0,45.0,+0.04%,0.0,,,
1009.0,대우부품,1427.0,1.0,+0.07%,500.0,1005.0,912.0,-58.0
1010.0,한세엠케이,2335.0,15.0,+0.65%,500.0,2715.0,2248.0,-211.0
1011.0,평화산업,1275.0,25.0,-1.92%,500.0,5199.0,2366.0,57.0
1012.0,삼화왕관,32300.0,600.0,-1.82%,5000.0,1544.0,2228.0,36.0
1013.0,동양피스톤,5280.0,50.0,+0.96%,500.0,3979.0,3743.0,74.0
1014.0,신한 WTI원유 선물 ETN(H),6945.0,135.0,-1.91%,0.0,,,
1015.0,KBSTAR 단기국공채액티브,106960.0,10.0,+0.01%,0.0,,,
1016.0,에이엔피,1549.0,78.0,-4.79%,500.0,1075.0,1068.0,-107.0
1017.0,KODEX 국고채10년액티브,101800.0,205.0,+0.20%,0.0,,,
1018.0,마스턴프리미어리츠,2600.0,5.0,-0.19%,1000.0,21.0,1793.0,1.0
1019.0,유한양행우,58400.0,0.0,0.00%,1000.0,,,
1020.0,서울식품,184.0,1.0,-0.54%,100.0,643.0,709.0,13.0
1021.0,CS홀딩스,59700.0,300.0,+0.51%,5000.0,1753.0,3641.0,156.0
1022.0,TIGER 200 중공업,3320.0,45.0,+1.37%,0.0,,,
1023.0,한일철강,2545.0,80.0,-3.05%,500.0,2552.0,3392.0,40.0
1024.0,천일고속,47450.0,650.0,-1.35%,5000.0,377.0,548.0,-74.0
1025.0,마니커,1067.0,13.0,-1.20%,500.0,3206.0,1746.0,-70.0
1026.0,KBSTAR 중기우량회사채,104220.0,25.0,+0.02%,0.0,,,
1027.0,메리츠 블룸버그 -2X 천연가스 선물 ETN(H),67595.0,7465.0,+12.41%,0.0,,,
1028.0,TIGER 미국투자등급회사채액티브(H),48755.0,55.0,+0.11%,0.0,,,
1029.0,KODEX 미국종합채권SRI액티브(H),96085.0,115.0,+0.12%,0.0,,,
1030.0,SOL 초단기채권액티브,50165.0,5.0,+0.01%,0.0,,,
1031.0,세원정공,6680.0,30.0,+0.45%,500.0,1592.0,6741.0,120.0
1032.0,조비,12720.0,120.0,-0.93%,5000.0,1486.0,1300.0,119.0
1033.0,하나 블룸버그 -2X 천연가스 선물 ETN(H),65960.0,5340.0,+8.81%,0.0,,,
1034.0,코오롱인더우,23800.0,300.0,+1.28%,5000.0,,,
1035.0,TIGER 화장품,2330.0,15.0,-0.64%,0.0,,,
1036.0,SG글로벌,1455.0,4.0,-0.27%,500.0,677.0,1859.0,-14.0
1037.0,한익스프레스,5450.0,300.0,-5.22%,500.0,8581.0,4079.0,199.0
1038.0,HANARO Fn K-POP&미디어,8465.0,115.0,-1.34%,0.0,,,
1039.0,서원,1369.0,25.0,-1.79%,500.0,2757.0,2662.0,2.0
1040.0,하이스틸,3215.0,55.0,-1.68%,500.0,3164.0,2925.0,169.0
1041.0,핸즈코퍼레이션,2965.0,75.0,+2.60%,500.0,7783.0,8626.0,-667.0
1042.0,인디에프,856.0,16.0,-1.83%,500.0,1353.0,1197.0,-130.0
1043.0,GS우,36000.0,50.0,+0.14%,5000.0,,,
1044.0,케이비아이동국실업,575.0,5.0,-0.86%,500.0,6142.0,5536.0,-10.0
1045.0,KODEX AI반도체핵심장비,10045.0,175.0,+1.77%,0.0,,,
1046.0,대신 인버스 천연가스 선물 ETN(H),7945.0,440.0,+5.86%,0.0,,,
1047.0,사조씨푸드,3690.0,30.0,-0.81%,1000.0,2011.0,3507.0,136.0
1048.0,두산2우B,71100.0,700.0,-0.97%,5000.0,,,
1049.0,대림B&Co,3805.0,90.0,-2.31%,1000.0,2535.0,3376.0,15.0
1050.0,아모레G우,9840.0,160.0,+1.65%,500.0,,,
1051.0,우진플라임,3170.0,5.0,-0.16%,500.0,2546.0,2852.0,226.0
1052.0,신한 인버스 2X WTI원유 선물 ETN(H),100.0,5.0,+5.26%,0.0,,,
1053.0,우성,20450.0,250.0,-1.21%,5000.0,6123.0,4020.0,-6.0
1054.0,문배철강,3080.0,5.0,-0.16%,500.0,1922.0,2069.0,30.0
1055.0,한국종합기술,5710.0,30.0,-0.52%,500.0,2837.0,3327.0,54.0
1056.0,삼정펄프,25000.0,100.0,-0.40%,5000.0,1745.0,2327.0,47.0
1057.0,SK케미칼우,29450.0,100.0,-0.34%,5000.0,,,
1058.0,미래에셋맵스리츠,3075.0,0.0,0.00%,1000.0,60.0,2893.0,39.0
1059.0,대신 S&P 인버스 2X 천연가스 선물 ETN,61720.0,6495.0,+11.76%,0.0,,,
1060.0,히어로즈 26-09 회사채(AA-이상)액티브,50590.0,10.0,-0.02%,0.0,,,
1061.0,ACE 미국빅테크TOP7 Plus,10265.0,115.0,-1.11%,0.0,,,
1062.0,KB Wise 분할매매 ETN,10250.0,5.0,-0.05%,0.0,,,
1063.0,TIGER 경기방어,8610.0,5.0,+0.06%,0.0,,,
1064.0,다이나믹디자인,3540.0,25.0,-0.70%,500.0,582.0,978.0,-72.0
1065.0,히어로즈 CD금리액티브(합성),101865.0,25.0,-0.02%,0.0,,,
1066.0,DSR제강,4240.0,45.0,-1.05%,500.0,2617.0,2594.0,264.0
1067.0,미래에셋 레버리지 코스닥150 선물 ETN,30195.0,285.0,-0.94%,0.0,,,
1068.0,ACE G2전기차&자율주행액티브,8135.0,50.0,-0.61%,0.0,,,
1069.0,삼일씨엔에스,4705.0,95.0,-1.98%,1000.0,2412.0,4114.0,-70.0
1070.0,ARIRANG 미국S&P500(H),18650.0,50.0,-0.27%,0.0,,,
1071.0,KODEX 200미국채혼합,11955.0,45.0,-0.37%,0.0,,,
1072.0,성보화학,2950.0,10.0,-0.34%,500.0,664.0,1708.0,19.0
1073.0,한화솔루션우,22900.0,100.0,-0.43%,5000.0,,,
1074.0,IHQ,3585.0,0.0,0.00%,500.0,468.0,2463.0,-322.0
1075.0,KB 인버스 천연가스 선물 ETN,12910.0,680.0,+5.56%,0.0,,,
1076.0,티에이치엔,3225.0,45.0,-1.38%,500.0,4697.0,3714.0,11.0
1077.0,부국증권우,19310.0,100.0,-0.52%,5000.0,,,
1078.0,영흥,570.0,6.0,-1.04%,500.0,5274.0,5357.0,42.0
1079.0,에쓰씨엔지니어링,1786.0,4.0,-0.22%,500.0,1372.0,1065.0,78.0
1080.0,메타랩스,2305.0,55.0,+2.44%,2500.0,227.0,900.0,-20.0
1081.0,에스메디,401.0,2.0,-0.50%,500.0,191.0,1899.0,-3.0
1082.0,미래에셋증권우,4035.0,10.0,-0.25%,5000.0,,,
1083.0,SJM,3635.0,35.0,+0.97%,500.0,1802.0,2433.0,71.0
1084.0,TIMEFOLIO Kstock액티브,8315.0,10.0,-0.12%,0.0,,,
1085.0,키움 미국달러선물 ETN,11230.0,0.0,0.00%,0.0,,,
1086.0,KODEX 아시아달러채권SRI플러스액티브,50735.0,20.0,+0.04%,0.0,,,
1087.0,KODEX 차이나H레버리지(H),1590.0,25.0,-1.55%,0.0,,,
1088.0,KBSTAR KP달러채권액티브,50395.0,60.0,+0.12%,0.0,,,
1089.0,신세계건설,13880.0,60.0,-0.43%,5000.0,14324.0,10356.0,-120.0
1090.0,QV 레버리지 S&P500 ETN,27750.0,20.0,+0.07%,0.0,,,
1091.0,모나미,2935.0,25.0,-0.84%,1000.0,1495.0,2184.0,63.0
1092.0,ARIRANG K방산Fn,11090.0,95.0,-0.85%,0.0,,,
1093.0,TIGER 200 에너지화학,13845.0,60.0,-0.43%,0.0,,,
1094.0,한창제지,923.0,2.0,-0.22%,500.0,2149.0,2831.0,13.0
1095.0,시디즈,27500.0,950.0,-3.34%,500.0,2433.0,851.0,0.0
1096.0,세원이앤씨,1270.0,0.0,0.00%,500.0,1266.0,2827.0,18.0
1097.0,갤럭시아에스엠,1990.0,50.0,-2.45%,500.0,301.0,579.0,42.0
1098.0,KBSTAR 중국본토대형주CSI100,15225.0,120.0,-0.78%,0.0,,,
1099.0,현대건설우,51500.0,200.0,-0.39%,5000.0,,,
1100.0,KBSTAR 고배당,12055.0,25.0,-0.21%,0.0,,,
1101.0,선도전기,3000.0,0.0,0.00%,500.0,619.0,1317.0,-169.0
1102.0,롯데칠성우,69600.0,500.0,-0.71%,500.0,,,
1103.0,TIMEFOLIO K바이오액티브,8220.0,175.0,-2.08%,0.0,,,
1104.0,QV 코스닥 150 ETN,13300.0,70.0,-0.52%,0.0,,,
1105.0,HANARO e커머스,10430.0,50.0,+0.48%,0.0,,,
1106.0,SOL 미국S&P500,12360.0,25.0,-0.20%,0.0,,,
1107.0,영화금속,992.0,0.0,0.00%,500.0,2849.0,2207.0,-11.0
1108.0,HANARO 32-10 국고채액티브,52250.0,130.0,+0.25%,0.0,,,
1109.0,계양전기,1920.0,6.0,-0.31%,500.0,3651.0,2976.0,-106.0
1110.0,티웨이홀딩스,467.0,5.0,-1.06%,500.0,115.0,2107.0,-19.0
1111.0,메리츠 레버리지 미국채30년 ETN(H),5205.0,35.0,-0.67%,0.0,,,
1112.0,키움 코스피 200 ETN,10385.0,0.0,0.00%,0.0,,,
1113.0,미래에셋 레버리지 코스피200 선물 ETN,25900.0,170.0,-0.65%,0.0,,,
1114.0,HANARO 종합채권(AA-이상)액티브,103185.0,0.0,0.00%,0.0,,,
1115.0,SJM홀딩스,3460.0,5.0,-0.14%,500.0,1842.0,3282.0,82.0
1116.0,DL이앤씨2우(전환),24350.0,0.0,0.00%,5000.0,,,
1117.0,범양건영,2070.0,10.0,-0.48%,1000.0,1198.0,2151.0,-123.0
1118.0,ACE 단기채권알파액티브,104460.0,20.0,+0.02%,0.0,,,
1119.0,진양화학,3250.0,35.0,-1.07%,500.0,291.0,446.0,-11.0
1120.0,ACE 포스코그룹포커스,8210.0,140.0,-1.68%,0.0,,,
1121.0,일진디스플,990.0,44.0,+4.65%,500.0,1243.0,1173.0,11.0
